owner;repository;study
angryip;ipscan;aman
sabrogden;Ditto;aman
checkstyle;eclipse-cs;aman
FirebirdSQL;firebird;aman
git;git;aman
GNOME;gparted;aman
hibernate;hibernate-orm;aman
hpcc-systems;HPCC-Platform;aman
KDE;kdiff3;aman
libjpeg-turbo;libjpeg-turbo;aman
torvalds;linux;aman,t, b
MediaPortal;MediaPortal-1;aman
mediathekview;MediathekView;aman
moneymanagerex;moneymanagerex;aman
moodle;moodle;aman
NagiosEnterprises;nagioscore;aman
cyanfish;naps2;aman
net-snmp;net-snmp;aman
bruderstein;PythonScript;aman
pandorafms;pandorafms;aman
pwsafe;pwsafe;aman
pmd;pmd;aman
ruby;ruby;aman
rails;rails;aman, f
scribusproject;scribus;aman
nigels-com;glew;aman
unetbootin;unetbootin;aman
UniversalMediaServer;UniversalMediaServer;aman
wine-mirror;wine;aman
WordPress;WordPress;aman, t, b
xcat2;xcat-core;aman
python-pillow;Pillow;t
qemu;qemu;t
openemr;openemr;t
Piwigo;Piwigo;t
glpi-project;glpi;t
jenkinsci;jenkins;t, f
facebook;hhvm;t, b
Dolibarr;dolibarr;t
FFmpeg;FFmpeg;t, b
zulip;zulip;t
bigtreecms;BigTree-CMS;t
postgres;postgres;t
ceph;ceph;t
samba-team;samba;t
FasterXML;jackson-databind;t
django;django;t, cho
openssl;openssl;t, cha
Cisco-Talos;clamav;t
xen-project;xen;t
phpmyadmin;phpmyadmin;t, b
OISF;suricata;t
wireshark;wireshark;t
mongodb;mongo;t
microsoft;TypeScript;z
apple;swift;z,w
microsoft;vscode;z
grafana;grafana;z
tensorflow;tensorflow;z, w, b
vuejs;vue;z
keystonejs;keystone;cho
apache;cxf;cho
apache;tomcat;cho
angular;angular;f
ansible;ansible;f
jquery;jquery;f
sebastianbergmann;phpunit;f
mono;mono;f
allegro;ralph;w
sabnzbd;sabnzbd;w
mbi;django-simple-captcha ;w
ImageMagick;ImageMagick;b
the-tcpdump-group;tcpdump;b
php;php-src;b
MISP;MISP;b
curl;curl;cha
libarchive;libarchive;cha
Automattic;mongoose;cha
sleuthkit;sleuthkit;cha
libgit2;libgit2;cha
aubio;aubio;cha
libimobiledevice;libimobiledevice ;cha
libevent;libevent;cha
libvips;libvips;cha
pocoproject;poco;cha
nmap;npcap;cha
libusb;libusb;cha
inotify-tools;inotify-tools;cha
