language,repo_id,repo_name,repo_owner_login,size,stargazers_count,watchers_count
Python,11589713,deis,deis,21555,6071,6071
Python,17055028,alfred-workflow,deanishe,25413,2926,2926
Python,2469037,sublime-text-git,kemayo,423,2836,2836
Python,65834,platform_development,aosp-mirror,460787,2699,2699
Python,173502637,DeleteFB,weskerfoot,245,2685,2685
Python,268666171,police-brutality,2020PB,172878,2658,2658
Python,215415332,HackingNeuralNetworks,Kayzaks,21090,2469,2469
Python,143808048,sclack,haskellcamargo,1955,2433,2433
Python,82193141,luminoth,tryolabs,3123,2401,2401
Python,249303697,Cyberbrain,laike9m,1898,2401,2401
Python,105611680,sketch-to-react-native,nanohop,5533,2335,2335
Python,70307904,TensorFlow-and-DeepLearning-Tutorial,CreatCodeBuild,32016,2325,2325
Python,11226488,quokka,quokkaproject,11550,2227,2227
Python,16960472,fake2db,emirozer,1046,2189,2189
Python,51792345,denite.nvim,Shougo,2370,2056,2056
Python,44441373,gordon,jorgebastida,5188,2049,2049
Python,15647547,Mario-Level-1,justinmeister,14962,2046,2046
Python,34271922,credstash,fugue,348,2045,2045
Python,456545,pyapns,samuraisam,551,1938,1938
Python,58594760,flask-ask,johnwheeler,498,1914,1914
Python,172831315,maskscoring_rcnn,zjhuang22,5337,1877,1877
Python,198788481,apple_bleee,hexway,23289,1871,1871
Python,31199458,StarterLearningPython,qiwsir,6499,1841,1841
Python,122248488,compare_gan,google,893,1817,1817
Python,37456777,lsbasi,rspivak,117,1709,1709
Python,93135701,pytorch-semantic-segmentation,zijundeng,1630,1679,1679
Python,18144573,pyringe,google,424,1638,1638
Python,88889137,aiyprojects-raspbian,google,2127,1585,1585
Python,13676250,ActualVim,lunixbochs,1063,1558,1558
Python,21822261,sparta,SECFORCE,420,1551,1551
Python,42814642,chcli,architv,31,283,283
Python,117512197,VulScan,SkewwG,1085,283,283
Python,72720513,SRGAN,buriburisuri,1350,282,282
Python,174581882,sample-code,opendistro-for-elasticsearch,625,281,281
Python,130987513,Ansible-VIM-IDE,Hello-Linux,2082,279,279
Python,84719618,pytorch_RFCN,ShadowXZT,644,279,279
Python,2330250,ec2-ssh,facebookarchive,222,278,278
Python,80291481,pyzdb,asrp,14,278,278
Python,1781813,gist-it,robertkrimen,843,278,278
Python,12529706,curdling,clarete,1496,276,276
Python,118646862,bug-monitor,FortuneC00kie,31,273,273
Python,1210935,django-google-maps,madisona,100,273,273
Python,12588179,btsync-deb,tuxpoldo,2127,272,272
Python,81817283,ML-in-Action-Code-and-Note,stonycat,40178,271,271
Python,174497515,knowledge-driven-dialogue,baidu,1097,271,271
Python,171826319,acefile,Ridter,48,270,270
Python,126796515,zh-NER-keras,stephen-v,28361,269,269
Python,32457477,Theano-Lights,Ivaylo-Popov,6996,267,267
Python,115855917,wechat_jump_tensorflow,Honlan,96649,266,266
Python,56709482,hotel-review-analysis,monkeylearn,28,265,265
Python,1473732,mailer,marrow,503,263,263
Python,1468646,pyffmpeg,mhaller,1365,262,262
Python,168086063,Bytedance_ICME_challenge,challenge-ICME2019-Bytedance,36,260,260
Python,93679037,validus,shopnilsazal,453,260,260
Python,24237960,Beebeeto-framework,n0tr00t,421,256,256
Python,15721226,interpy,syrusakbary,14,255,255
Python,40271492,netimpair,urbenlegend,34,255,255
Python,15824423,picnic.py,Zulko,48,255,255
Python,142829166,PyTorch-MFNet,cypw,7127,253,253
Python,116500438,MillionHeroes,wuditken,3227,252,252
Python,6219026,socode,sricola,756,249,249
Python,219374647,SqueezeWave,tianrengao,74,248,248
Python,6356249,sublime-jsrun,sindresorhus,58,248,248
Python,201506148,MelNet,resemble-ai,3,247,247
Python,188163723,Vision_UI,asvcode,34831,247,247
Python,154823584,happymac,laffra,12358,246,246
Python,2879796,vbench,wesm,111,246,246
Python,145528100,relational-rnn-pytorch,L0SG,4707,244,244
Python,2625046,SideBarGit,titoBouzout,167,243,243
Python,50698320,emojione-picker-ubuntu,gentakojima,6288,241,241
Python,4194373,arduino-sms-alarm,mattwilliamson,3444,241,241
Python,101178650,ros_people_object_detection_tensorflow,cagbal,177697,240,240
Python,9100049,gsync,iwonbigbro,1139,238,238
Python,43455152,layered,danijar,647,237,237
Python,89751121,mxnet-yolo,zhreshold,1808,237,237
Python,3652496,python-scraping-code-samples,paulproteus,45162,236,236
Python,69466571,dl-models-for-qa,sujitpal,3104,236,236
Python,184865749,fairseq-gec,kanyun-inc,2853,236,236
Python,35642474,oi,walkr,43,235,235
Python,35439436,fpage,fy0,73,235,235
Python,47339115,debug_seq2seq,nicolas-ivanov,6458,234,234
Python,14515912,mimicdb,nathancahill,347,234,234
Python,3109541,flask-kit,semirook,463,233,233
Python,15218510,lark,voidfiles,287,233,233
Python,56975020,c-cpp-notes,BenLangmead,13668,233,233
Python,225937,nbhttp,mnot,322,232,232
Python,36923531,slack_bot,python-cn,3644,232,232
Python,85394413,handy,SouravJohar,4894,232,232
Python,60218535,CharCNN,mhjabreel,23050,231,231
Python,4829686,django-ios-notifications,stephenmuss,274,230,230
Python,92352265,rqalpha-mod-ctp,ricequant,6935,229,229
Python,78818,filemap,mfisk,714,229,229
Python,39638053,bakerstreet,datawire,628,228,228
Python,293361514,geocode-sqlite,eyeseast,125,228,228
Python,25938759,procs,kennethreitz-archive,335,227,227
Python,80828018,focuson,uber-archive,176,227,227
Python,6300462,mockredis,locationlabs,459,227,227
Python,58056458,pythonql,pythonql,967,227,227
Python,93877235,Keras-ResNeXt,titu1994,645,226,226
Python,530568,qr,tnm,291,226,226
Python,229718264,fastor,edisonlz,76287,225,225
Python,88547317,doublepulsar-c2-traffic-decryptor,WithSecureLabs,1265,224,224
Python,54317602,DeepSpell,MajorTal,17,224,224
Python,26944439,pdnn,yajiemiao,212,224,224
Python,14057030,github-decorator,skazhy,119,224,224
Python,26059969,pyperform,lobocv,694,223,223
Python,94069754,FaceRec,vudung45,70698,223,223
Python,271376081,mdeq,locuslab,17420,222,222
Python,101112896,torchfold,nearai,75,222,222
Python,104981305,Deep-Alignment-Network-A-convolutional-neural-network-for-robust-face-alignment,zjjMaiMai,175,222,222
Python,3324634,pybbm,hovel,3449,222,222
Python,18977903,compneuro,robclewley,516,222,222
Python,1483886,django-common,Tivix,161,220,220
Python,15434820,sublime-howdoi-direct-paste,azac,143,220,220
Python,27908518,rnn_ctc,rakeshvar,618,219,219
Python,42305180,django-rest-marshmallow,marshmallow-code,793,219,219
Python,141116665,php-interview-2018,sushengbuhuo,45,218,218
Python,262262908,Disout,huawei-noah,340,218,218
Python,86720265,pyNASA,bmtgoncalves,22,217,217
Python,140758,sd-agent,serverdensity,34373,217,217
Python,172458804,claf,naver,9024,216,216
Python,330505,pg8000,mfenniak,1472,216,216
Python,184418314,42-workshop,pauleveritt,45,216,216
Python,22064964,sshkey-grab,NetSPI,131,215,215
Python,55827020,WeatherDesk,bharadwaj-raju,122,215,215
Python,3615289,richard,pyvideo,1798,215,215
Python,8670758,patterns,Suor,387,215,215
Python,71651079,dynamic-training-bench,galeone,629,215,215
Python,84336558,ActionVLAD,rohitgirdhar,13639,215,215
Python,72186989,leetcode_python,bluedazzle,35,214,214
Python,149040416,NSC_BUILDER,julesontheroad,174100,1153,1153
Python,223767508,Corsy,s0md3v,83,1150,1150
Python,53546797,tagger,glample,91917,1146,1146
Python,126222784,tf-encrypted,tf-encrypted,23491,1139,1139
Python,2722409,SublimeText-Nodejs,tanepiper,568,1133,1133
Python,57056922,httptools,MagicStack,117,1118,1118
Python,134007984,youCanCodeAGif,1-Sisyphe,219,1111,1111
Python,322048570,liif,yinboc,65,1109,1109
Python,119694686,python-patterns,brandon-rhodes,517,1104,1104
Python,70730339,benchmarks,tensorflow,3168,1104,1104
Python,355239629,nginxpwner,stark0de,55,1097,1097
Python,2681370,ino,amperka,848,1086,1086
Python,33149077,tools,standardebooks,79996,1074,1074
Python,100208095,PlaystoreDownloader,ClaudiuGeorgiu,3940,1073,1073
Python,113177130,CPS-OCR-Engine,AstarLight,78184,1065,1065
Python,92442522,repokid,Netflix,925,1060,1060
Python,155008334,piccolo,piccolo-orm,3588,1060,1060
Python,199716757,deep_gcns_torch,lightaime,7362,1054,1054
Python,334760721,self-attention-cv,The-AI-Summer,298,1050,1050
Python,147775027,dien,mouna99,462288,1049,1049
Python,112664267,sentiment-discovery,NVIDIA,57328,1049,1049
Python,226067372,ATSS,sfzhang15,4409,1045,1045
Python,62103198,CatPapers,junyanz,13213,1042,1042
Python,25372,dumbo,klbostee,5183,1041,1041
Python,111750621,keyword_extraction,AimeeLee77,895,1033,1033
Python,41381209,nba_py,seemethere,139,1031,1031
Python,37271531,sqliv,the-robot,893,1029,1029
Python,35374734,flask-apscheduler,viniciuschiele,788,1027,1027
Python,323591830,huggingface_hub,huggingface,15072,1026,1026
Python,88508140,mzitu,chenjiandongx,10219,1023,1023
Python,176627295,prepare_detection_dataset,spytensor,28,1023,1023
Python,95870855,twstock,mlouielu,885,1021,1021
Python,223180993,ASFF,GOATmessi7,2161,1017,1017
Python,5791555,hamster,projecthamster,10658,1013,1013
Python,110565580,gated-graph-neural-network-samples,microsoft,150,1013,1013
Python,40846170,pyRevit,eirannejad,1190279,1010,1010
Python,175291625,morph-net,google-research,6437,1010,1010
Python,255530752,MySQL_Fake_Server,fnmsd,511,999,999
Python,91312574,picasso,merantix,7161,999,999
Python,102218565,PasteHunter,kevthehermit,292,995,995
Python,27790033,odo,blaze,12285,993,993
Python,66394057,securitybot,dropbox,83,991,991
Python,166674659,FinQuant,fmilthaler,1151,988,988
Python,126039059,calamari,Calamari-OCR,57472,988,988
Python,352746057,simsiam,facebookresearch,18,984,984
Python,51456837,Blog_mini,xpleaf,2233,983,983
Python,141988790,deeplearning,yangxudong,67079,982,982
Python,138086376,self-attention-gan,brain-research,1433,970,970
Python,19795586,BDFProxy,secretsquirrel,182,969,969
Python,229937482,AI_Sudoku,neeru1207,34843,959,959
Python,14665885,worldengine,Mindwerks,2239,959,959
Python,41940260,onedrive-sdk-python,OneDrive,337,959,959
Python,616179530,sd-webui-text2video,kabachuha,806,958,958
Python,33446739,gplaycli,matlink,18252,957,957
Python,97976723,attention-ocr,emedvedev,273,953,953
Python,200611314,duino-coin,revoxhere,66493,952,952
Python,6819325,nolearn,dnouri,823,950,950
Python,4232356,RAKE,aneesha,248,949,949
Python,52888013,django-controlcenter,byashimov,202,946,946
Python,41629698,FoxDot,Qirky,175813,945,945
Python,941492,scikit-cuda,lebedov,2553,939,939
Python,57005838,httpolice,vfaronov,1686,939,939
Python,43115475,sen,TomasTomecek,2987,936,936
Python,70698886,cnn_finetune,flyyufelix,36,934,934
Python,137387915,runMacOSinVirtualBox,AlexanderWillner,12687,934,934
Python,94198277,sceneReco,bear63,2216,933,933
Python,153093579,bk-sops,TencentBlueKing,65929,932,932
Python,126139168,swa,timgaripov,30,931,931
Python,118914793,weechat-matrix,poljar,939,928,928
Python,4932591,plop,bdarnell,283,924,924
Python,473059611,VideoMAE,MCG-NJU,560,923,923
Python,127438939,qr-filetransfer,sdushantha,190,922,922
Python,2418165,scales,Cue,137,922,922
Python,238946632,warpinator,linuxmint,9449,919,919
Python,535276329,HiFiScan,erdewit,1959,918,918
Python,78414312,imooc-django,zaxlct,8064,916,916
Python,130345931,HackerrankPractice,marinskiy,235,914,914
Python,169510341,HAN,Jhy1993,42310,913,913
Python,54922422,pysparnn,facebookresearch,348,911,911
Python,314156461,AdelaiDepth,aim-uofa,46805,909,909
Python,110866117,finviz,mariostoev,187,908,908
Python,257615431,TradingView-Webhook-Bot,fabston,285,907,907
Python,2485503,django-hosts,jazzband,420,905,905
Python,514085646,Unicorn,MasterBin-IIAU,22456,900,900
Python,183320800,semiphemeral,micahflee,1322,895,895
Python,26970604,Rusthon,rusthon,9308,890,890
Python,15157083,django-websocket-redis,jrief,658,887,887
Python,5448538,openvpn-monitor,furlongm,1141,885,885
Python,416591486,DirectVoxGO,sunset1995,4966,884,884
Python,58852357,cemu,hugsy,791,882,882
Python,458701673,NATSpeech,NATSpeech,177,881,881
